8:00:00,-10.4,-5.5,-2.5
9:00:00,-30.3,1,2
10:00:00,3.8,12.3,15.2
11:00:00,5.9,13.5,20.3
12:00:00,9.6,16.4,23.1
13:00:00,12,19.4,30.6
14:00:00,16.1,28.2,34.1
15:00:00,20.6,30.3,39.8
16:00:00,17.2,26.2,35
17:00:00,15,20.8,30.9
18:00:00,15.9,10.1,18.5
19:00:00,10,3.3,5.9
20:00:00,-10.4,-5.5,-2.5
21:00:00,-30.3,1,2
22:00:00,3.8,12.3,15.2
23:00:00,5.9,13.5,20.3
0:00:00,9.6,16.4,23.1
1:00:00,12,19.4,30.6
2:00:00,16.1,28.2,34.1
3:00:00,20.6,30.3,39.8
4:00:00,17.2,26.2,35
5:00:00,15,20.8,30.9
6:00:00,15.9,10.1,18.5
7:00:00,10,3.3,5.9
8:00:00,-10.4,-5.5,-2.5
9:00:00,-30.3,1,2
10:00:00,3.8,12.3,15.2
11:00:00,5.9,13.5,20.3
12:00:00,9.6,16.4,23.1
13:00:00,12,19.4,30.6
14:00:00,16.1,28.2,34.1
15:00:00,20.6,30.3,39.8
16:00:00,17.2,26.2,35
17:00:00,15,20.8,30.9
18:00:00,15.9,10.1,18.5
19:00:00,10,3.3,5.9
20:00:00,-10.4,-5.5,-2.5
21:00:00,-30.3,1,2
22:00:00,3.8,12.3,15.2
23:00:00,5.9,13.5,20.3
0:00:00,9.6,16.4,23.1
1:00:00,12,19.4,30.6
2:00:00,16.1,28.2,34.1
3:00:00,20.6,30.3,39.8
4:00:00,17.2,26.2,35
5:00:00,15,20.8,30.9
6:00:00,15.9,10.1,18.5
7:00:00,10,3.3,5.9
